loc_id,zone_name,borough_name,archetype
178,Ocean Parkway South,Brooklyn,Outer-borough residential (morning origins)
179,Old Astoria,Queens,Uptown & Queens residential
180,Ozone Park,Queens,Uptown & Queens residential
181,Park Slope,Brooklyn,Mixed-use Manhattan (dining & residential)
182,Parkchester,Bronx,Outer-borough residential (morning origins)
183,Pelham Bay,Bronx,Outer-borough residential (morning origins)
185,Pelham Parkway,Bronx,Outer-borough residential (morning origins)
186,Penn Station/Madison Sq West,Manhattan,Manhattan core (business & transit hubs)
188,Prospect-Lefferts Gardens,Brooklyn,Outer-borough residential (morning origins)
189,Prospect Heights,Brooklyn,Mixed-use Manhattan (dining & residential)
190,Prospect Park,Brooklyn,Uptown & Queens residential
191,Queens Village,Queens,Outer-borough residential (morning origins)
192,Queensboro Hill,Queens,Uptown & Queens residential
193,Queensbridge/Ravenswood,Queens,Uptown & Queens residential
194,Randalls Island,Manhattan,Peripheral / low-volume & airports
195,Red Hook,Brooklyn,Outer-borough residential (morning origins)
196,Rego Park,Queens,Uptown & Queens residential
197,Richmond Hill,Queens,Outer-borough residential (morning origins)
198,Ridgewood,Queens,Nightlife districts
200,Riverdale/North Riverdale/Fieldston,Bronx,Outer-borough residential (morning origins)
201,Rockaway Park,Queens,Outer-borough residential (morning origins)
202,Roosevelt Island,Manhattan,Uptown & Queens residential
203,Rosedale,Queens,Outer-borough residential (morning origins)
205,Saint Albans,Queens,Outer-borough residential (morning origins)
207,Saint Michaels Cemetery/Woodside,Queens,Peripheral / low-volume & airports
208,Schuylerville/Edgewater Park,Bronx,Outer-borough residential (morning origins)
209,Seaport,Manhattan,Mixed-use Manhattan (dining & residential)
210,Sheepshead Bay,Brooklyn,Peripheral / low-volume & airports
211,SoHo,Manhattan,Manhattan core (business & transit hubs)
212,Soundview/Bruckner,Bronx,Outer-borough residential (morning origins)
213,Soundview/Castle Hill,Bronx,Outer-borough residential (morning origins)
215,South Jamaica,Queens,Outer-borough residential (morning origins)
216,South Ozone Park,Queens,Uptown & Queens residential
217,South Williamsburg,Brooklyn,Uptown & Queens residential
218,Springfield Gardens North,Queens,Outer-borough residential (morning origins)
219,Springfield Gardens South,Queens,Uptown & Queens residential
220,Spuyten Duyvil/Kingsbridge,Bronx,Uptown & Queens residential
222,Starrett City,Brooklyn,Peripheral / low-volume & airports
223,Steinway,Queens,Uptown & Queens residential
224,Stuy Town/Peter Cooper Village,Manhattan,Mixed-use Manhattan (dining & residential)
225,Stuyvesant Heights,Brooklyn,Uptown & Queens residential
226,Sunnyside,Queens,Uptown & Queens residential
227,Sunset Park East,Brooklyn,Outer-borough residential (morning origins)
228,Sunset Park West,Brooklyn,Uptown & Queens residential
229,Sutton Place/Turtle Bay North,Manhattan,Manhattan core (business & transit hubs)
230,Times Sq/Theatre District,Manhattan,Manhattan core (business & transit hubs)
231,TriBeCa/Civic Center,Manhattan,Manhattan core (business & transit hubs)
232,Two Bridges/Seward Park,Manhattan,Mixed-use Manhattan (dining & residential)
233,UN/Turtle Bay South,Manhattan,Manhattan core (business & transit hubs)
234,Union Sq,Manhattan,Manhattan core (business & transit hubs)
235,University Heights/Morris Heights,Bronx,Outer-borough residential (morning origins)
236,Upper East Side North,Manhattan,Manhattan core (business & transit hubs)
237,Upper East Side South,Manhattan,Manhattan core (business & transit hubs)
238,Upper West Side North,Manhattan,Manhattan core (business & transit hubs)
239,Upper West Side South,Manhattan,Manhattan core (business & transit hubs)
240,Van Cortlandt Park,Bronx,Outer-borough residential (morning origins)
241,Van Cortlandt Village,Bronx,Outer-borough residential (morning origins)
242,Van Nest/Morris Park,Bronx,Peripheral / low-volume & airports
243,Washington Heights North,Manhattan,Uptown & Queens residential
244,Washington Heights South,Manhattan,Uptown & Queens residential
246,West Chelsea/Hudson Yards,Manhattan,Manhattan core (business & transit hubs)
247,West Concourse,Bronx,Outer-borough residential (morning origins)
248,West Farms/Bronx River,Bronx,Outer-borough residential (morning origins)
249,West Village,Manhattan,Mixed-use Manhattan (dining & residential)
250,Westchester Village/Unionport,Bronx,Outer-borough residential (morning origins)
252,Whitestone,Queens,Uptown & Queens residential
254,Williamsbridge/Olinville,Bronx,Outer-borough residential (morning origins)
255,Williamsburg (North Side),Brooklyn,Nightlife districts
256,Williamsburg (South Side),Brooklyn,Nightlife districts
257,Windsor Terrace,Brooklyn,Uptown & Queens residential
258,Woodhaven,Queens,Outer-borough residential (morning origins)
259,Woodlawn/Wakefield,Bronx,Outer-borough residential (morning origins)
260,Woodside,Queens,Uptown & Queens residential
261,World Trade Center,Manhattan,Manhattan core (business & transit hubs)
262,Yorkville East,Manhattan,Manhattan core (business & transit hubs)
263,Yorkville West,Manhattan,Manhattan core (business & transit hubs)
264,,Unknown,Manhattan core (business & transit hubs)
265,Outside of NYC,,Uptown & Queens residential
